Name,Address,Amenities,Specialties,OpeningHours,ContactEmail,ContactPhone,Pricing
Body Advance Personal Training Studio,"161. Arch. Makarios III Ave. Akapnitis Court Floor 2, Limassol, Cyprus","Power Plate, Sport Massage","Pilates, Yoga, Aerobics, Weight Lifting, Personal Training","{""Week Days"":""09:00-18:00"",""Sunday"":""Closed""}",info@bodyadvance.net,#ERROR!,Not specified on website
Contrology Studio,,"Sauna, Private Reformer Pilates, Yoga Sessions","Reformer Pilates, Yoga, Personal Training",,,35799282127,"{""SaunaSession"":{""StudioMembers"":""€15"",""NonMembers"":""€25"",""PrivateGroupSauna"":""€80 per group (1-4 people)""},""PrivateClasses"":""Pricing not specified""}"
UN1T Limassol,"45, Georgiou A Street, 4047, Germasogia, Limassol, Cyprus","Dumbbells, Kettlebells, Barbells, Concept 2 Rowers, Bike Ergs, Ski Ergs, Rogue Echo Bikes, Digital Screens, Heart Rate Monitors","Strength Training, Conditioning, Team-Based Workouts, Performance Tracking",{},team.limassol@un1t.com,00357 96727088,Intro Offer/Trial Available (Specific pricing not detailed in HTML)
Combat and Fitness,"Vasileos Pavlou 44, 3052 Limassol, Cyprus","Changing Rooms, Showers, Toilets, Towels, Drinking Water, Hydrogenated Water, Fully Air Conditioned, Anti-Bacterial Entrance Carpets","Muay Thai, HIIT Training, Functional Training, Kids Muay Thai","{""Monday-Friday"":""6:30 - 9:15 (Morning), 16:00 - 20:00 (Afternoon)"",""Saturday"":""8:30 - 9:30 (Morning)""}",hello@combatandfitness.com,#ERROR!,"{""FreeTrial"":""2 Weeks Unlimited Classes"",""PrepaidPackages"":[""4 Classes (1 time/week): €70"",""8 Classes (1-2 times/week): €120"",""12 Classes (1-3 times/week): €150"",""16 Classes (1-4 times/week): €180""],""MonthlyPackages"":[""Monthly 24 Classes: €160"",""Monthly 48 Classes: €240""],""ChildClasses"":[""Muay Thai for Kids (5-8 years): €60/month"",""Juniors Muay Thai (9-13 years): €70/month""]}"
Body Fitness Gym Centre,,"State-of-the-art facilities, Cutting-edge equipment, Shower Access, Free Parking, Cardio Machines, Strength Training Equipment","Les Mills, Circuit Training, TRX, Weightlifting, Personal Training, MMA, BJJ","{""Monday"":""Open"",""Tuesday"":""Open"",""Wednesday"":""Open"",""Thursday"":""Open"",""Friday"":""Open"",""Saturday"":""Open""}",stefos-cy@hotmail.com,35799817412,"{""Plan"":""GYM"",""Price"":""€50/month"",""Details"":[""Membership"",""Access to All Gym Facilities"",""Free Parking Pass"",""Shower Access"",""Monday-Saturday Access""]}, {""Plan"":""GROUP CLASSES"",""Price"":""€50/month"",""Details"":[""Membership"",""Access to All Gym Group Classes"",""Free Parking Pass"",""Shower Access"",""Monday-Saturday Access""]}, {""Plan"":""GYM & GROUP"",""Price"":""€60/month"",""Details"":[""Membership"",""Access to All Gym Facilities"",""Free Parking Pass"",""Shower Access"",""Monday-Saturday Access"",""Access to All Gym Group Classes""]}, {""Plan"":""PREMIUM"",""Price"":""€80/month"",""Details"":[""Membership"",""Access to All Gym Facilities"",""Free Parking Pass"",""Shower Access"",""Monday-Saturday Access"",""Access to All Gym Group Classes"",""Access to All MMA + BJJ Group Classes""]}"
CrossFit Limassol,"9 Sheakspear 3041 Limassol, Cyprus","Group Training, Personal Training, Digital Coaching, Outdoor Classes","CrossFit, Body Recomposition, Competition Prep, Sport-Specific Nutrition",,info@crossfitlimassol.com,#ERROR!,
Iron Fitness,"Agias Fylaxeos, & 1, Limassol 3082, Limassol, Cyprus","Personal Training, Semi-Personal Training, Group Classes","Body Weight Training, TRX, Cardio, CrossFit, Bodybuilding","{""Morning Sessions"":""7:00AM ~ 9:00AM"",""Afternoon Sessions"":""6:00PM ~ 8:00PM""}",contact@ironfitness.com,#ERROR!,"Personal Training and Semi-Personal Sessions available, exact pricing not specified on website"
Team Rogue Forge,"116 Spyrou Kyprianou Ave, Limassol","Group Classes, Cross-Training, Strength Training","Cross Training, General Fitness, Physical Fitness, Aerobic & Cardio, Strength & Core, Muscular Fitness, Stretching & Flexibility","{""Monday"":""07:00 – 21:00"",""Tuesday"":""07:00 – 21:00"",""Wednesday"":""07:00 – 21:00"",""Thursday"":""07:00 – 21:00"",""Friday"":""07:00 – 21:00"",""Saturday"":""07:00 – 12:30"",""Sunday"":""Closed""}",info@teamrogueforge.com.cy,#ERROR!,Membership pricing not specified in provided HTML
Reload Fitness Studio,"Eleftherias 119, 3042 Limassol, Cyprus","Fuel Bar, App-based Booking","HIIT & RUN, Joy Ride, One on One, Glutes & Abs, HIIT & Box, Rebuild, Reform / Mat Pilates",{},info@reload-fitness.com,#ERROR!,Subscription available through mobile app
Muscle Factory,"Griva Digeni 16, Limassol, Cyprus","24/7 Access, Strength Training, Conditioning Training","Strength Training, Muscle Building, Conditioning","{""Monday"":""24/7"",""Tuesday"":""24/7"",""Wednesday"":""24/7"",""Thursday"":""24/7"",""Friday"":""24/7"",""Saturday"":""24/7"",""Sunday"":""24/7""}",musclefactory24hoursgym@outlook.com,-438253,
Grind Fitness,"Steliou Kiriakidi, Limassol 3080, Cyprus","Free Weights, Cardio Equipment, Lockers, Clean Showers, Parking","CrossFit, Group Classes, Personal Training, Nutrition Coaching",Not specified in HTML,giannis1996.g9@hotmail.com,#ERROR!,"€10 Per Drop-In Class, Full Membership Pricing Details Not Explicitly Stated"
VIP GYM,"Steliou Kyriakide 31A Str., 3080, Limassol","Weight Training, Personal Training, Group Classes, Gymnastics for Kids","Fight Do, Suspension Training, Step, Aerial Yoga, Pilates, Kickboxing, Personal Training, Semi Personal Training, Weight Training","{""Monday-Friday"":""06:00 am - 22:00 pm"",""Saturday"":""07:00 am - 18:00 pm"",""Sunday"":""08:00 am - 14:00 pm""}",vipgym.livelonger@gmail.com,77 776525,Pricing details not explicitly provided in the HTML
Anaplasis Gym Fitness Center,"28th Oktovriou str, 319A Kanika Business Center, Enaerios Area, Limassol, Cyprus","Sauna, Locker Rooms, Showers, Free WiFi, Group Exercise Studio","Personal Training, Body Building, Les Mills™ Classes, Group Fitness","{""Monday"":""06:30 - 22:00"",""Tuesday"":""06:30 - 22:00"",""Wednesday"":""06:30 - 22:00"",""Thursday"":""06:30 - 22:00"",""Friday"":""06:30 - 22:00"",""Saturday"":""08:00 - 18:00"",""Sunday"":""09:00 - 12:00""}",,#ERROR!,"Competitive prices including all fitness equipment, group classes, and one free weekly sauna session"
Champ Boxing Academy,,Boxing Training,Boxing,,,,
Her Gym,"Omonoias Avenue No. 19, 3052 Limassol, Cyprus","Modern Equipment, Group Classes, Yoga Classes, Pilates Classes, Kickboxing, Muay Thai, MMA, Personal Training, Nutrition Plans","Women's Only Fitness, Personal Training, Group Classes, Combat Sports, Nutrition Coaching","{""Monday"":""07:00-22:00"",""Tuesday"":""07:00-22:00"",""Wednesday"":""07:00-22:00"",""Thursday"":""07:00-22:00"",""Friday"":""07:00-22:00"",""Saturday"":""07:00-22:00"",""Sunday"":""08:00-18:00""}",info@hergym.cy,#ERROR!,"{""SelfTraining"":{""1Month"":""€98"",""3Months"":""€280"",""6Months"":""€518"",""12Months"":""€976""},""GroupClasses"":{""1Month"":""€155-€210"",""3Months"":""€436-€568"",""6Months"":""€772-€1,096"",""12Months"":""€1,495-€2,050""},""PersonalTraining"":{""1Month"":""€430-€575"",""3Months"":""€1,232-€1,626"",""6Months"":""€2,464-€3,252"",""12Months"":""€4,300-€5,720""}}"
Dreamchasers Fitness Studio,"Kekropos 8, Agios Spiridonas, Limassol 3051",,"TRX Training, Functional Training, Weight Loss, Muscle Building, Personal Training",{},info@dreamchasers.cy,#ERROR!,"{""PrivateTraining"":""€30"",""SemiPrivateTraining"":""€40"",""MonthlyGroupPackages"":{""3SessionsPerWeek"":""€80"",""4SessionsPerWeek"":""€100"",""5SessionsPerWeek"":""€120""},""DailyPass"":""€10""}"
,,,,,,,
                     ,,,,,,,
